address,banking,bike_stands,bonus,contract_name,name,number,position_lat,position_long
"King Street North",0,30,0,dublin,"KING STREET NORTH",101,53.350291,-6.273507
"Western Way",0,40,0,dublin,"WESTERN WAY",102,53.354929,-6.269425
"Grangegorman Lower (South)",0,40,0,dublin,"GRANGEGORMAN LOWER (SOUTH)",103,53.354663,-6.278681
"Grangegorman Lower (Central)",0,40,0,dublin,"GRANGEGORMAN LOWER (CENTRAL)",104,53.355173,-6.278424
"Grangegorman Lower (North)",0,36,0,dublin,"GRANGEGORMAN LOWER (NORTH)",105,53.355954,-6.278378
"Rathdown Road",0,40,0,dublin,"RATHDOWN ROAD",106,53.35893,-6.280337
"Charleville Road",0,40,0,dublin,"CHARLEVILLE ROAD",107,53.359157,-6.281866
"Avondale Road",0,35,0,dublin,"AVONDALE ROAD",108,53.359405,-6.276142
"Buckingham Street Lower",0,29,0,dublin,"BUCKINGHAM STREET LOWER",109,53.353331,-6.249319
"Phibsborough Road",0,40,0,dublin,"PHIBSBOROUGH ROAD",110,53.356307,-6.273717
"Mountjoy Square East",0,40,0,dublin,"MOUNTJOY SQUARE EAST",111,53.356717,-6.256359
"North Circular Road (O'Connell's)",0,30,0,dublin,"NORTH CIRCULAR ROAD (O'CONNELL'S)",112,53.357841,-6.251557
"Merrion Square South",0,40,0,dublin,"MERRION SQUARE SOUTH",113,53.338614,-6.248606
"Wilton Terrace (Park)",0,40,0,dublin,"WILTON TERRACE (PARK)",114,53.333653,-6.248345
"Killarney Street",0,30,0,dublin,"KILLARNEY STREET",115,53.354845,-6.247579
Broadstone,0,30,0,dublin,BROADSTONE,116,53.3547,-6.272314
"Hanover Quay East",0,40,0,dublin,"HANOVER QUAY EAST",117,53.343653,-6.231755
